,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height,opponent,outcome,name,division,rank,str.ac,grap.ac,sig.str.land,sig.str.att,take.land,take.att,sig.str.land.min,sig.str.abs.min,take.avg.15min,sub.avg.15min,sig.str.def,take.def,knock.ratio,avg.time,sig.str.head,sig.str.head.percent,sig.str.body,sig.str.body.percent,sig.str.leg,sig.str.leg.percent,sig.str.position.stand,sig.str.position.clinch,sig.str.position.ground,sig.str.position.stand.percent,sig.str.position.clinch.percent,sig.str.position.ground.percent,win.ko,win.sub,win.dec,win.ko.percent,win.sub.percent,win.dec.percent,wins,losses,age,leg.reach,reach,height
20,nicolau,bantamweight,1,[52%],[44%],236.0,452.0,6.0,18.0,"3.79
              ","2.83
          ","1.93
              ","1.45
          ","68
                  %","100
                      %","1.20
              ","12:27
          ",120,51%,81,34%,35,15%,203,3,30,(86%),(1%),(13%),4,5,7,(25%),(31%),(44%),16,3,28.0,38.0,66.0,66.0,korea,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,nicolau,bantamweight,1,[52%],[44%],236.0,452.0,6.0,18.0,"3.79
              ","2.83
          ","1.93
              ","1.45
          ","68
                  %","100
                      %","1.20
              ","12:27
          ",120,51%,81,34%,35,15%,203,3,30,(86%),(1%),(13%),4,5,7,(25%),(31%),(44%),16,3,28.0,38.0,66.0,66.0,moraga,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,nicolau,bantamweight,1,[52%],[44%],236.0,452.0,6.0,18.0,"3.79
              ","2.83
          ","1.93
              ","1.45
          ","68
                  %","100
                      %","1.20
              ","12:27
          ",120,51%,81,34%,35,15%,203,3,30,(86%),(1%),(13%),4,5,7,(25%),(31%),(44%),16,3,28.0,38.0,66.0,66.0,smolka,Win,smolka,bantamweight,0,[46%],[34%],594.0,1288.0,13.0,44.0,"4.25
              ","3.62
          ","1.61
              ","2.04
          ","52
                  %","31
                      %","0.21
              ","09:59
          ",411,69%,147,25%,36,6%,335,63,196,(56%),(11%),(33%),8,7,2,(47%),(41%),(12%),17,7,29.0,37.0,68.0,69.0
23,nicolau,bantamweight,1,[52%],[44%],236.0,452.0,6.0,18.0,"3.79
              ","2.83
          ","1.93
              ","1.45
          ","68
                  %","100
                      %","1.20
              ","12:27
          ",120,51%,81,34%,35,15%,203,3,30,(86%),(1%),(13%),4,5,7,(25%),(31%),(44%),16,3,28.0,38.0,66.0,66.0,ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,kenney,bantamweight,1,[43%],[39%],592.0,1380.0,2.0,23.0,"4.81
              ","4.30
          ","1.10
              ","0.49
          ","59
                  %","59
                      %","0.00
              ","13:40
          ",316,53%,148,25%,128,22%,521,53,18,(88%),(9%),(3%),2,5,9,(13%),(31%),(56%),16,4,30.0,36.0,70.0,67.0,alatengheili,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,kenney,bantamweight,1,[43%],[39%],592.0,1380.0,2.0,23.0,"4.81
              ","4.30
          ","1.10
              ","0.49
          ","59
                  %","59
                      %","0.00
              ","13:40
          ",316,53%,148,25%,128,22%,521,53,18,(88%),(9%),(3%),2,5,9,(13%),(31%),(56%),16,4,30.0,36.0,70.0,67.0,smolka,Win,smolka,bantamweight,0,[46%],[34%],594.0,1288.0,13.0,44.0,"4.25
              ","3.62
          ","1.61
              ","2.04
          ","52
                  %","31
                      %","0.21
              ","09:59
          ",411,69%,147,25%,36,6%,335,63,196,(56%),(11%),(33%),8,7,2,(47%),(41%),(12%),17,7,29.0,37.0,68.0,69.0
26,kenney,bantamweight,1,[43%],[39%],592.0,1380.0,2.0,23.0,"4.81
              ","4.30
          ","1.10
              ","0.49
          ","59
                  %","59
                      %","0.00
              ","13:40
          ",316,53%,148,25%,128,22%,521,53,18,(88%),(9%),(3%),2,5,9,(13%),(31%),(56%),16,4,30.0,36.0,70.0,67.0,dvalishvili,upcoming,dvalishvili,bantamweight,11,[37%],[45%],288.0,776.0,17.0,86.0,"3.84
              ","2.36
          ","7.80
              ","0.00
          ","58
                  %","80
                      %","0.20
              ","15:00
          ",200,69%,43,15%,45,16%,153,42,93,(53%),(15%),(32%),2,1,10,(15%),(8%),(77%),13,4,30.0,38.0,68.0,66.0
27,kenney,bantamweight,1,[43%],[39%],592.0,1380.0,2.0,23.0,"4.81
              ","4.30
          ","1.10
              ","0.49
          ","59
                  %","59
                      %","0.00
              ","13:40
          ",316,53%,148,25%,128,22%,521,53,18,(88%),(9%),(3%),2,5,9,(13%),(31%),(56%),16,4,30.0,36.0,70.0,67.0,bermudez,upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,faber,Win,faber,bantamweight,0,[41%],[31%],964.0,2336.0,26.0,122.0,"2.68
              ","2.52
          ","1.59
              ","0.88
          ","65
                  %","60
                      %","0.38
              ","12:24
          ",702,73%,196,20%,66,7%,575,136,253,(60%),(14%),(26%),10,17,8,(29%),(49%),(23%),35,11,40.0,37.0,67.0,66.0
29,cruz,bantamweight,10,[33%],[46%],990.0,3016.0,23.0,117.0,"3.65
              ","2.42
          ","2.99
              ","0.06
          ","73
                  %","84
                      %","0.06
              ","16:56
          ",662,67%,190,19%,138,14%,825,85,80,(83%),(9%),(8%),7,1,15,(30%),(4%),(65%),23,3,36.0,37.0,68.0,68.0,johnson,Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
